customer_state,unique_customers,total_orders,total_revenue,avg_order_value
SP,39748,41126,5878935.99,142.949374848028
RJ,12242,12698,2115994.28,166.639965348874
MG,11134,11496,1843460.37,160.356677974948
RS,5234,5417,877803.8,162.046114085287
PR,4825,4983,794653.2,159.472847682119
SC,3502,3600,608180.51,168.939030555556
BA,3244,3344,607041.45,181.531534090909
DF,2058,2121,351487.63,165.717883074022
GO,1934,1998,340626.24,170.483603603604
ES,1950,2018,323105.75,160.111868186323
PE,1600,1643,321120.88,195.447888009738
CE,1301,1323,274549.81,207.520642479214
PA,944,969,217484.52,224.442229102167
MT,872,902,186222.41,206.455
MA,715,736,150691.7,204.744157608696
PB,516,531,140519.57,264.631958568738
MS,687,708,135929.68,191.991073446328
PI,478,490,107859.45,220.121326530612
RN,471,482,101908.6,211.428630705394
AL,399,411,96252.7,234.191484184915
SE,338,345,73032.32,211.687884057971
TO,271,278,61103.85,219.798021582734
RO,234,246,57433.47,233.469390243902
AM,142,147,27846.44,189.43156462585
AC,77,81,19680.62,242.970617283951
AP,67,68,16262.8,239.158823529412
RR,44,45,9948.97,221.088222222222
